case,n_units,buses,split_ratio,S_each,E_each,j_net,b_energy,b_defer,b_arb,b_loss,cost,v_violation,i_violation,diverged,delta_vs_single_best
A_single,1,13,1.0000,0.176400,0.419200,3064293.331650125,2129278.210673043,11448655.060416121,1931997.9891651603,197280.22150828014,10513639.93943904,0.0,0.0,False,0.0
A_single,1,14,1.0000,0.176400,0.419200,3063403.467608873,2128493.172422487,11448550.234625425,1931997.9891651603,196495.1832578754,10513639.93943904,0.0,0.0,False,0.0
A_single,1,12,1.0000,0.176400,0.419200,3062907.177302707,2127751.3484197725,11448795.768321974,1931997.9891651603,195753.35925491233,10513639.93943904,0.0,0.0,False,0.0
A_single,1,15,1.0000,0.176400,0.419200,3060791.222311493,2125983.4713045703,11448447.690445963,1931997.9891651603,193985.48213944276,10513639.93943904,0.0,0.0,False,0.0
A_single,1,31,1.0000,0.176400,0.419200,3054819.620590497,2123033.3366487985,11445426.223380739,1931997.9891651603,191035.34748408382,10513639.93943904,0.0,0.0,False,0.0
B_even2_same_feeder_adjacent,2,13;14,0.5000;0.5000,0.088200;0.088200,0.209600;0.209600,-2324315.1550854445,2130407.3582254504,6058917.426128144,1931997.9896083798,198409.3686174017,10513639.93943904,0.0,0.0,False,-5388608.486735569
B_even2_same_feeder_adjacent,2,12;13,0.5000;0.5000,0.088200;0.088200,0.209600;0.209600,-2314535.576034927,2129924.4262900418,6069179.937114071,1931997.9896083798,197926.43668191874,10513639.93943904,0.0,0.0,False,-5378828.907685052
B_even2_same_feeder_adjacent,2,12;14,0.5000;0.5000,0.088200;0.088200,0.209600;0.209600,-2317710.727611661,2131059.686859824,6064869.524967554,1931997.9896083798,199061.69725177466,10513639.93943904,0.0,0.0,False,-5381114.195220534
B_even2_same_feeder_adjacent,2,14;15,0.5000;0.5000,0.088200;0.088200,0.209600;0.209600,-2334357.1517094504,2129154.7466324563,6050128.041097133,1931997.9896083798,197156.75702455055,10513639.93943904,0.0,0.0,False,-5397760.619318323
B_even2_same_feeder_adjacent,2,13;15,0.5000;0.5000,0.088200;0.088200,0.209600;0.209600,-2327896.4030966125,2131075.293092836,6054668.2432495905,1931997.9896083798,199077.3034846774,10513639.93943904,0.0,0.0,False,-5392189.734746737
B_even2_same_feeder_distant,2,13;17,0.5000;0.5000,0.088200;0.088200,0.209600;0.209600,-2336159.9963948764,2130172.9398788544,6047307.003165308,1931997.9896083798,198174.95027075039,10513639.93943904,0.0,0.0,False,-5400453.328045001
B_even2_same_feeder_distant,2,12;16,0.5000;0.5000,0.088200;0.088200,0.209600;0.209600,-2326853.5166447507,2131642.8968103724,6055143.525983917,1931997.9896083798,199644.9072023215,10513639.93943904,0.0,0.0,False,-5389760.693947458
B_even2_same_feeder_distant,2,13;10,0.5000;0.5000,0.088200;0.088200,0.209600;0.209600,-2291549.986159168,2129960.3645870998,6092129.588692771,1931997.9896083798,197962.37497915942,10513639.93943904,0.0,0.0,False,-5355843.317809293
B_even2_same_feeder_distant,2,12;17,0.5000;0.5000,0.088200;0.088200,0.209600;0.209600,-2329537.7472155318,2130841.2160815247,6053260.976141984,1931997.9896083798,198843.22647345957,10513639.93943904,0.0,0.0,False,-5392444.924518239
B_even2_cross_feeder,2,13;31,0.5000;0.5000,0.088200;0.088200,0.209600;0.209600,-2280783.215167256,2151245.6349409255,6081611.089330858,1931997.9896083798,219247.64533280546,10513639.93943904,0.0,0.0,False,-5345076.546817381
B_even2_cross_feeder,2,13;32,0.5000;0.5000,0.088200;0.088200,0.209600;0.209600,-2281947.2230292065,2150707.1166020045,6080985.599807829,1931997.9896083798,218709.12699413052,10513639.93943904,0.0,0.0,False,-5346240.554679331
B_even2_cross_feeder,2,13;30,0.5000;0.5000,0.088200;0.088200,0.209600;0.209600,-2279138.484571661,2150595.86051574,6083905.594351639,1931997.9896083798,218597.8709076211,10513639.93943904,0.0,0.0,False,-5343431.816221786
B_even2_cross_feeder,2,14;31,0.5000;0.5000,0.088200;0.088200,0.209600;0.209600,-2283897.9763568677,2152435.2329595434,6077306.730122629,1931997.9896083798,220437.243351752,10513639.93943904,0.0,0.0,False,-5347301.4439657405
B_even2_cross_feeder,2,12;31,0.5000;0.5000,0.088200;0.088200,0.209600;0.209600,-2277298.158691533,2148999.621010902,6087342.159736604,1931997.9896083798,217001.63140294325,10513639.93943904,0.0,0.0,False,-5340205.33599424
B_even2_cross_feeder,2,15;31,0.5000;0.5000,0.088200;0.088200,0.209600;0.209600,-2287413.397851713,2153162.330222591,6073064.211364736,1931997.9896083798,221164.34061438387,10513639.93943904,0.0,0.0,False,-5348204.620163206
B_even2_cross_feeder,2,13;29,0.5000;0.5000,0.088200;0.088200,0.209600;0.209600,-2272718.461717995,2146076.4585347446,6094845.0191863,1931997.9896083798,214078.46892660804,10513639.93943904,0.0,0.0,False,-5337011.79336812
B_even2_upper_x_mid,2,13;11,0.5000;0.5000,0.088200;0.088200,0.209600;0.209600,-2296297.924045372,2130233.480570697,6087108.534822971,1931997.9896083798,198235.490962865,10513639.93943904,0.0,0.0,False,-5360591.255695497
B_even2_upper_x_mid,2,13;9,0.5000;0.5000,0.088200;0.088200,0.209600;0.209600,-2288984.6701771365,2129673.6345326295,6094981.634729274,1931997.9896083798,197675.64492469322,10513639.93943904,0.0,0.0,False,-5353278.001827261
B_even2_control,2,13;18,0.5000;0.5000,0.088200;0.088200,0.209600;0.209600,-2191510.450763533,2055635.332671416,6266494.156004091,1931997.9896083798,123637.34306339445,10513639.93943904,0.0,0.0,False,-5255803.782413658
B_even2_control,2,13;1,0.5000;0.5000,0.088200;0.088200,0.209600;0.209600,-2190696.3115074653,2055182.195357087,6267761.432574487,1931997.9896083798,123184.20574937886,10513639.93943904,0.0,0.0,False,-5254989.64315759
C_ratio_sweep,2,13;31,0.2500;0.7500,0.044100;0.132300,0.104800;0.314400,-35199.370016092435,2143412.5308232508,8335028.038599696,1931997.986813758,211414.5440099904,10513639.93943904,0.0,0.0,False,-3099492.7016662173
C_ratio_sweep,2,13;31,0.3750;0.6250,0.066150;0.110250,0.157200;0.262000,-1666752.7526840642,2148897.2136850692,6697989.973069905,1931997.9854204871,216899.2282647243,10513639.93943904,0.0,0.0,False,-4731046.084334189
C_ratio_sweep,2,13;31,0.5000;0.5000,0.088200;0.088200,0.209600;0.209600,-2280783.309943055,2151245.540168776,6081611.089327209,1931997.9896083798,219247.55056084492,10513639.93943904,0.0,0.0,False,-5345076.64159318
C_ratio_sweep,2,13;31,0.6250;0.3750,0.110250;0.066150,0.262000;0.157200,-1665207.9616896901,2150457.659484226,6697974.318265124,1931997.9854204871,218459.67406413384,10513639.93943904,0.0,0.0,False,-4729501.293339815
C_ratio_sweep,2,13;31,0.7500;0.2500,0.132300;0.044100,0.314400;0.104800,-17275.626488626003,2146533.731501057,8349830.581449358,1931997.986813758,214535.74468755166,10513639.93943904,0.0,0.0,False,-3081568.958138751
C_ratio_sweep,2,13;17,0.2500;0.7500,0.044100;0.132300,0.104800;0.314400,-58959.52574264631,2124055.8297242653,8330624.583972129,1931997.986813758,192057.84291071328,10513639.93943904,0.0,0.0,False,-3123252.857392771
C_ratio_sweep,2,13;17,0.3750;0.6250,0.066150;0.110250,0.157200;0.262000,-1718099.2454253528,2127661.3268882222,6667879.367125465,1931997.9854204871,195663.34146830323,10513639.93943904,0.0,0.0,False,-4782392.577075478
C_ratio_sweep,2,13;17,0.5000;0.5000,0.088200;0.088200,0.209600;0.209600,-2336159.9963938305,2130172.939877333,6047307.003167876,1931997.9896083798,198174.95026931007,10513639.93943904,0.0,0.0,False,-5400453.328043955
C_ratio_sweep,2,13;17,0.6250;0.3750,0.110250;0.066150,0.262000;0.157200,-1714154.3831863943,2131590.544994992,6667895.011257653,1931997.9854204871,199592.55957485866,10513639.93943904,0.0,0.0,False,-4778447.714836519
C_ratio_sweep,2,13;17,0.7500;0.2500,0.132300;0.044100,0.314400;0.104800,-50161.382789097726,2131914.0422218735,8331564.514428069,1931997.986813758,199916.05540881446,10513639.93943904,0.0,0.0,False,-3114454.7144392226
C_ratio_sweep,2,13;14,0.2500;0.7500,0.044100;0.132300,0.104800;0.314400,-46220.26315615326,2129830.6646427773,8337589.011640108,1931997.986813758,197832.67782942517,10513639.93943904,0.0,0.0,False,-3110513.594806278
C_ratio_sweep,2,13;14,0.3750;0.6250,0.066150;0.110250,0.157200;0.262000,-1705306.2639132366,2130214.110816849,6678119.564708955,1931997.9854204871,198216.12539708283,10513639.93943904,0.0,0.0,False,-4769599.595563361
C_ratio_sweep,2,13;14,0.5000;0.5000,0.088200;0.088200,0.209600;0.209600,-2324315.1550847786,2130407.358222874,6058917.426131387,1931997.9896083798,198409.36861492725,10513639.93943904,0.0,0.0,False,-5388608.486734903
C_ratio_sweep,2,13;14,0.6250;0.3750,0.110250;0.066150,0.262000;0.157200,-1705105.79721573,2130410.3888194687,6678123.7534038415,1931997.9854204871,198412.40339913798,10513639.93943904,0.0,0.0,False,-4769399.128865855
C_ratio_sweep,2,13;14,0.7500;0.2500,0.132300;0.044100,0.314400;0.104800,-45573.83295106515,2130223.2132827095,8337842.8932052655,1931997.986813758,198225.22646965983,10513639.93943904,0.0,0.0,False,-3109867.16460119
D_triple,3,13;14;31,0.3333;0.3333;0.3333,0.058800;0.058800;0.058800,0.139733;0.139733;0.139733,-3593260.116624615,2150616.0770523166,4769763.745762108,1931997.9986574417,218618.07839554682,10513639.93943904,0.0,0.0,False,-6657553.44827474
D_triple,3,13;31;32,0.3333;0.3333;0.3333,0.058800;0.058800;0.058800,0.139733;0.139733;0.139733,-3596235.4231777815,2147257.9354553353,4770146.580805923,1931997.9986574417,215259.9367982553,10513639.93943904,0.0,0.0,False,-6660528.754827906
