bus,S_fixed,E_fixed,j_net,b_energy,b_defer,b_arb,b_loss,cost,v_violation,i_violation,penalty_v,penalty_line,diverged,rank,delta_vs_bus15_won,delta_vs_bus15_pct
1,0.17563401013726143,0.4114328540564782,2102853.9478855766,1914439.9541883327,10514790.46560742,1905283.942295513,9156.01189320962,10326376.471910175,0.0,0.0,0.0,0.0,False,32,-985846.2553032264,-31.917835673576526
2,0.17563401013726143,0.4114328540564782,2299345.6517872084,1957644.0699338282,10668078.053763555,1905283.942295513,52360.12763866008,10326376.471910175,0.0,0.0,0.0,0.0,False,27,-789354.5514015947,-25.55620485881594
3,0.17563401013726143,0.4114328540564782,2401393.9961223956,1979384.0169235165,10748386.451109054,1905283.942295513,74100.07462823136,10326376.471910175,0.0,0.0,0.0,0.0,False,25,-687306.2070664074,-22.25227965980078
4,0.17563401013726143,0.4114328540564782,2502853.9471029025,2000837.5286689172,10828392.89034416,1905283.942295513,95553.58637356789,10326376.471910175,0.0,0.0,0.0,0.0,False,22,-585846.2560859006,-18.967404330179647
5,0.17563401013726143,0.4114328540564782,2719799.8657552693,2046485.01807991,10999691.319585534,1905283.942295513,141201.0757847053,10326376.471910175,0.0,0.0,0.0,0.0,False,21,-368900.33743353374,-11.943546254592064
6,0.17563401013726143,0.4114328540564782,2746813.81826818,2051555.4602595074,11021634.829918848,1905283.942295513,146271.51796413882,10326376.471910175,0.0,0.0,0.0,0.0,False,19,-341886.38492062315,-11.068940409550155
7,0.17563401013726143,0.4114328540564782,2821757.64697928,2064380.353409838,11083753.765479617,1905283.942295513,159096.4111148123,10326376.471910175,0.0,0.0,0.0,0.0,False,17,-266942.55620952323,-8.642553133966489
8,0.17563401013726143,0.4114328540564782,2904625.0620887894,2076770.6575155961,11154230.876483368,1905283.942295513,171486.71522026835,10326376.471910175,0.0,0.0,0.0,0.0,False,15,-184075.14110001363,-5.959631203765673
9,0.17563401013726143,0.4114328540564782,2980474.009295957,2087254.8866206852,11219595.594585447,1905283.942295513,181970.94432570285,10326376.471910175,0.0,0.0,0.0,0.0,False,13,-108226.19389284588,-3.503939740772256
10,0.17563401013726143,0.4114328540564782,2992958.153421335,2088802.7393189908,11230531.886012519,1905283.942295513,183518.7970238551,10326376.471910175,0.0,0.0,0.0,0.0,False,11,-95742.04976746812,-3.0997521115394475
11,0.17563401013726143,0.4114328540564782,3014332.749253519,2091209.05132211,11249500.169841584,1905283.942295513,185925.10902668914,10326376.471910175,0.0,0.0,0.0,0.0,False,10,-74367.45393528417,-2.407726520641482
12,0.17563401013726143,0.4114328540564782,3059775.500497181,2097991.3311746316,11288160.641232725,1905283.942295513,192707.3888794399,10326376.471910175,0.0,0.0,0.0,0.0,False,6,-28924.70269162208,-0.9364684426724208
13,0.17563401013726143,0.4114328540564782,3073914.08986637,2099478.5890740477,11300811.972702498,1905283.942295513,194194.6467790382,10326376.471910175,0.0,0.0,0.0,0.0,False,5,-14786.113322433084,-0.4787163644813363
14,0.17563401013726143,0.4114328540564782,3082349.5217557997,2098686.5295304847,11310039.46413549,1905283.942295513,193402.5872354984,10326376.471910175,0.0,0.0,0.0,0.0,False,2,-6350.681433003396,-0.20561016010705388
15,0.17563401013726143,0.4114328540564782,3088700.203188803,2096190.293688192,11318886.381410785,1905283.942295513,190906.35139305398,10326376.471910175,0.0,0.0,0.0,0.0,False,1,0.0,0.0
16,0.17563401013726143,0.4114328540564782,3081377.1714236513,2089244.5243126468,11318509.11902118,1905283.942295513,183960.58201755874,10326376.471910175,0.0,0.0,0.0,0.0,False,3,-7323.031765151769,-0.2370910507141937
17,0.17563401013726143,0.4114328540564782,3075894.573854629,2083888.216436455,11318382.829328349,1905283.942295513,178604.27414137145,10326376.471910175,0.0,0.0,0.0,0.0,False,4,-12805.629334174097,-0.4145960595642609
18,0.17563401013726143,0.4114328540564782,2107855.2355592195,1914617.7475253162,10519613.959944079,1905283.942295513,9333.805230226015,10326376.471910175,0.0,0.0,0.0,0.0,False,31,-980844.9676295836,-31.755913591644475
19,0.17563401013726143,0.4114328540564782,2138021.531815959,1912502.9928029927,10551895.010923142,1905283.942295513,7219.05050773722,10326376.471910175,0.0,0.0,0.0,0.0,False,30,-950678.6713728439,-30.77924721833975
20,0.17563401013726143,0.4114328540564782,2141935.370673716,1910906.5565893822,10557405.28599451,1905283.942295513,5622.614294092157,10326376.471910175,0.0,0.0,0.0,0.0,False,28,-946764.832515087,-30.652532464550557
21,0.17563401013726143,0.4114328540564782,2141249.0451181736,1906402.7980807782,10561222.71894757,1905283.942295513,1118.855785768419,10326376.471910175,0.0,0.0,0.0,0.0,False,29,-947451.1580706295,-30.674752994559718
22,0.17563401013726143,0.4114328540564782,2345363.3395919316,1965608.128666056,10706131.68283605,1905283.942295513,60324.18637082365,10326376.471910175,0.0,0.0,0.0,0.0,False,26,-743336.8635968715,-24.06633258965838
23,0.17563401013726143,0.4114328540564782,2427720.048555877,1979184.4882472334,10774912.03221882,1905283.942295513,73900.54595225878,10326376.471910175,0.0,0.0,0.0,0.0,False,24,-660980.154632926,-21.39994532167686
24,0.17563401013726143,0.4114328540564782,2463709.8945566546,1981858.6885863806,10808227.67788045,1905283.942295513,76574.74629109327,10326376.471910175,0.0,0.0,0.0,0.0,False,23,-624990.3086321484,-20.234735245165673
25,0.17563401013726143,0.4114328540564782,2742773.283647757,2050540.9339685563,11018608.821589375,1905283.942295513,145256.9916730393,10326376.471910175,0.0,0.0,0.0,0.0,False,20,-345926.919541046,-11.199757075287133
26,0.17563401013726143,0.4114328540564782,2772724.2623169795,2055685.7608786796,11043414.973348474,1905283.942295513,150401.81858357164,10326376.471910175,0.0,0.0,0.0,0.0,False,18,-315975.9408718236,-10.23006184108147
27,0.17563401013726143,0.4114328540564782,2877899.232841091,2073151.0827794154,11131124.621971851,1905283.942295513,167867.1404841702,10326376.471910175,0.0,0.0,0.0,0.0,False,16,-210800.97034771182,-6.824908747377907
28,0.17563401013726143,0.4114328540564782,2951648.751971064,2084807.010229468,11193218.21365177,1905283.942295513,179523.06793429505,10326376.471910175,0.0,0.0,0.0,0.0,False,14,-137051.4512177389,-4.437188532452768
29,0.17563401013726143,0.4114328540564782,2989000.7944991905,2089981.091677772,11225396.174731594,1905283.942295513,184697.14938262125,10326376.471910175,0.0,0.0,0.0,0.0,False,12,-99699.40868961252,-3.2278758743461706
30,0.17563401013726143,0.4114328540564782,3027109.3338821437,2093734.4087770313,11259751.397015287,1905283.942295513,188450.4664818311,10326376.471910175,0.0,0.0,0.0,0.0,False,9,-61590.869306659326,-1.9940708147418236
31,0.17563401013726143,0.4114328540564782,3031668.8298653327,2093366.9970721626,11264678.304703346,1905283.942295513,188083.05477697443,10326376.471910175,0.0,0.0,0.0,0.0,False,7,-57031.373323470354,-1.8464522152260239
32,0.17563401013726143,0.4114328540564782,3029746.5389431957,2090505.3360138913,11265617.67483948,1905283.942295513,185221.39371888572,10326376.471910175,0.0,0.0,0.0,0.0,False,8,-58953.66424560733,-1.9086884568707256
