b,S,E,e_over_s,skipped,skip_reason,j_net,b_energy,b_defer,b_arb,b_loss,cost,v_violation,i_violation,fitness,decomposition_ok
32,0.176,0.419,2.38,False,,3051803.40038036,2117684.0482929293,11438934.276827654,1929558.5580644486,188125.4902287388,10504814.924740223,0.0,0.0,-3051803.40038036,True
32,0.176,0.528,3.0,False,,2614203.0410150066,2490598.058987044,13226851.073541563,2265538.5867049675,225059.47228221322,13103246.0915136,0.0,0.0,-2614203.0410150066,True
32,0.176,0.671,3.81,False,,814199.220111141,2914900.8367987266,14397269.063675104,2652196.642363018,262704.19443591416,16497970.680362688,0.0,0.0,-814199.220111141,True
32,0.176,0.744,4.23,False,,-748763.5130259208,3112165.6056149425,14397269.126310242,2833385.124253095,278780.4813622032,18258198.244951107,0.0,0.0,748763.5130259208,True
32,0.5,1.19,2.38,False,,-2085626.2060654424,5656489.13839907,22101108.873547483,5481700.453186281,174788.68521309065,29843224.218011994,0.0,0.0,2085626.2060654424,True
32,0.5,1.5,3.0,False,,-4861387.40440207,6658557.002581604,25705186.534816325,6436189.1912469845,222367.81133507763,37225130.9418,0.0,0.0,4861387.40440207,True
32,0.5,1.905,3.81,False,,-8680004.513613604,7790332.736095136,30398897.63768526,7534649.578268107,255683.1578273768,46869234.887394,0.0,0.0,8680004.513613604,True
32,0.5,2.115,4.23,False,,-11475908.010867871,8319880.987801284,32074092.379032858,8049389.5508675035,270491.43693407637,51869881.37770201,0.0,0.0,11475908.010867871,True
32,1.0,2.38,2.38,False,,-14109010.693813138,10205031.514659772,35372406.22755108,10963400.95645678,-758369.441796755,59686448.43602399,0.0,0.0,14109010.693813138,True
32,1.0,3.0,3.0,False,,-24874417.603796795,12030289.942137245,37545554.33766595,12872378.417043433,-842088.4749060746,74450261.8836,0.0,0.0,24874417.603796795,True
32,1.0,3.81,3.81,False,,-39205351.98313952,14066594.260346755,40466523.53130173,15069299.145229641,-1002704.8848824488,93738469.774788,0.0,0.0,39205351.98313952,True
32,1.0,4.23,4.23,False,,-46728916.38264036,15030944.475814767,41979901.8969489,16098779.122821067,-1067834.6470056656,103739762.75540403,0.0,0.0,46728916.38264036,True
32,1.5,3.57,2.38,False,,-36281157.47180922,13647146.644489408,39601368.53773737,16445101.432403665,-2797954.7879140256,89529672.654036,0.0,0.0,36281157.47180922,True
32,1.5,4.5,3.0,False,,-52609950.94144525,16113085.07534388,42952356.808610864,19308567.62153985,-3195482.5461955415,111675392.8254,0.0,0.0,52609950.94144525,True
32,1.5,5.715,3.81,False,,-74457278.58943096,18826182.175440617,47324243.8973104,22603948.723754793,-3777766.5483136135,140607704.66218197,0.0,0.0,74457278.58943096,True
32,1.5,6.345,4.23,False,,-85889919.79817814,20131253.089492425,49588471.24543544,24148168.657124534,-4016915.5676317,155609644.133106,0.0,0.0,85889919.79817814,True
32,2.0,4.76,2.38,False,,-59503592.707684115,15980826.156261398,43888478.00810246,21926801.906727627,-5945975.750465669,119372896.87204798,0.00019398633841105628,0.0,61443456.09179468,True
32,2.0,6.0,3.0,False,,-81650796.83851331,18900962.960291293,48348763.96839539,25744756.826570943,-6843793.866279256,148900523.7672,0.00019398633492762052,0.0,83590660.18778951,True
32,2.0,7.62,3.81,False,,-111921713.6616314,22061856.234498225,53493369.65344638,30138598.29103329,-8076742.056534968,187476939.549576,0.00019398633947420585,0.0,113861577.05637346,True
32,2.0,8.46,4.23,False,,-128048167.2465975,23613829.962924734,55817528.30128582,32197558.21196294,-8583728.249037836,207479525.51080805,0.000193986304021454,0.0,129988030.28681204,True
32,2.4,5.712,2.38,False,,-78887964.82184492,17046053.815013558,47313457.6095991,26312162.287619755,-9266108.47260603,143247476.24645758,0.012784435495841961,0.0,206732319.78026456,True
32,2.4,7.2,3.0,False,,-106157676.49957794,20192381.00803282,52330571.01302922,30893708.192365896,-10701327.184332825,178680628.52064,0.012784435488451651,0.0,234002031.38409445,True
32,2.4,9.144,3.81,False,,-143718410.92323297,23545273.252015702,57708643.28424253,36166317.94968165,-12621044.697665757,224972327.4594912,0.012784435513970793,0.0,271562766.0629409,True
32,2.4,10.152,4.23,False,,-163273777.472733,25227132.08874163,60474521.051495016,38637069.88686308,-13409937.798121193,248975430.61296964,0.01315545142944774,0.0,294828291.76721036,True
15,0.176,0.419,2.38,False,,3061781.3030965663,2123598.269606829,11442997.95822996,1929558.5580644486,194039.71154275906,10504814.924740223,0.0,0.0,-3061781.3030965663,True
15,0.176,0.528,3.0,False,,2625944.7665189393,2498330.845736661,13230860.01229588,2265538.5867049675,232792.25903211805,13103246.0915136,0.0,0.0,-2625944.7665189393,True
15,0.176,0.671,3.81,False,,937496.7005676273,2923737.1616761787,14511730.219254138,2652196.642363018,271540.5193134978,16497970.680362688,0.0,0.0,-937496.7005676273,True
15,0.176,0.744,4.23,False,,-624968.6444982179,3121499.2795897108,14511730.320863178,2833385.124253095,288114.1553369537,18258198.244951107,0.0,0.0,624968.6444982179,True
15,0.5,1.19,2.38,False,,-2188767.0881224982,5538803.043019304,22115654.086870193,5481700.453186281,57102.58983340184,29843224.218011994,0.0,0.0,2188767.0881224982,True
15,0.5,1.5,3.0,False,,-4951727.173064552,6524336.037595075,25749067.73114037,6436189.1912469845,88146.84634888779,37225130.9418,0.0,0.0,4951727.173064552,True
15,0.5,1.905,3.81,False,,-8751138.105442278,7631634.235697745,30486462.546253983,7534649.578268107,96984.65742993577,46869234.887394,0.0,0.0,8751138.105442278,True
15,0.5,2.115,4.23,False,,-12020281.896350205,8151111.8014361225,31698487.67991568,8049389.5508675035,101722.25056874237,51869881.37770201,0.0,0.0,12020281.896350205,True
15,1.0,2.38,2.38,False,,-14749109.269357778,9555415.006198224,35381924.16046798,10963400.95645678,-1407985.9502583323,59686448.43602399,0.0,0.0,14749109.269357778,True
15,1.0,3.0,3.0,False,,-26372140.459437467,11278894.37846502,36799227.04569751,12872378.417043433,-1593484.038577915,74450261.8836,0.0,0.0,26372140.459437467,True
15,1.0,3.81,3.81,False,,-40791093.850243896,13180812.63297863,39766563.29156548,15069299.145229641,-1888486.512250536,93738469.774788,0.0,0.0,40791093.850243896,True
15,1.0,4.23,4.23,False,,-48346362.0848821,14089909.908334702,41303490.76218722,16098779.122821067,-2008869.21448613,103739762.75540403,0.0,0.0,48346362.0848821,True
15,1.5,3.57,2.38,False,,-38592530.98386988,12049340.928441884,38887800.74172424,16445101.432403665,-4395760.503961241,89529672.654036,0.0063262810759169286,0.0,101855341.74303916,True
15,1.5,4.5,3.0,False,,-55128425.230971605,14256060.208798725,42290907.38562967,19308567.62153985,-5052507.412740656,111675392.8254,0.006326281058217198,0.0,118391235.81314358,True
15,1.5,5.715,3.81,False,,-77241007.420266,16638279.24478073,46728417.997135244,22603948.723754793,-5965669.478973532,140607704.66218197,0.006326281086197039,0.0,140503818.2822364,True
15,1.5,6.345,4.23,False,,-88776060.52230188,17808002.142121464,49025581.46868265,24148168.657124534,-6340166.515002793,155609644.133106,0.006326280977478338,0.0,152038870.29708526,True
15,2.0,4.76,2.38,False,,-63120512.83237602,13011078.395526912,43241305.64414505,21926801.906727627,-8915723.511200484,119372896.87204798,0.11079747566151699,0.0,1171095269.4475458,True
15,2.0,6.0,3.0,False,,-85694283.08849582,15438311.065470906,47767929.61323327,25744756.826570943,-10306445.761099834,148900523.7672,0.11079747558666087,0.0,1193669038.9551044,True
15,2.0,7.62,3.81,False,,-116508467.50137822,17982865.91408175,52985606.13411604,30138598.29103329,-12155732.376951195,187476939.549576,0.13304058996381307,0.0,1446914367.139509,True
15,2.0,8.46,4.23,False,,-132853905.69197918,19284047.059031237,55341572.75979763,32197558.21196294,-12913511.152931504,207479525.51080805,0.15485185806163626,0.0,1681372486.3083417,True
15,2.4,5.712,2.38,False,,-83865084.75924969,12664918.390476327,46717473.096731566,26312162.287619755,-13647243.897142868,143247476.24645758,0.35649897929784014,0.0,3648854877.737651,True
15,2.4,7.2,3.0,False,,-111800646.37654158,15073368.904929342,51806613.23916906,30893708.192365896,-15820339.287436243,178680628.52064,0.3734225914129097,0.0,3846026560.5056386,True
15,2.4,9.144,3.81,False,,-150199273.63317615,17515034.484724946,57258019.34159011,36166317.94968165,-18651283.46495636,224972327.4594912,0.4712370046355603,0.0,4862569319.988779,True
15,2.4,10.152,4.23,False,,-170087808.98639047,18827560.736107297,60060060.89047186,38637069.88686308,-19809509.150755364,248975430.61296964,0.5360753329197577,0.0,5530841138.183968,True
